Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
51,1U,2,No,Yes,15.019531,23.650600,-19.426305,-11.865479,6.417159,0.292216,-0.264787,0.803539,0.445895
52,1U,4,No,Yes,9.402188,28.808862,-18.835963,-18.249569,11.921000,0.295703,-0.650608,-0.691683,0.104136
53,1U,4,No,Yes,0.901799,29.633184,12.225736,-1.999690,-26.919477,0.357972,-0.143342,-0.627377,-0.676541
54,1U,4,No,Yes,0.363050,14.706404,-0.849099,0.566155,-14.670951,0.045207,-0.167144,0.055917,-0.983307
55,1U,4,Yes,Yes,1.794559,3.258790,2.844130,-0.033889,-1.590436,0.473760,0.667740,-0.151657,-0.553783
56,1U,4,No,Yes,7.636301,34.446715,-18.809812,12.110799,-26.193428,0.008044,-0.740620,0.311506,0.595300
57,1U,4,Yes,Yes,2.504182,3.057238,-2.253753,-1.230312,-1.659406,0.264147,-0.184058,-0.632587,-0.704402
58,1U,4,No,Yes,2.534944,12.778695,-1.215829,-0.116332,-12.720192,-0.273068,0.634213,-0.161284,0.705121
59,1U,4,No,Yes,8.695252,32.341229,-13.913696,26.217188,-12.846136,-0.029879,0.639908,-0.130171,0.756757
60,1U,4,No,Yes,2.405714,10.530567,-8.472563,-4.293155,4.547232,-0.546996,0.392609,-0.528098,0.517461
61,1U,4,No,Yes,8.025073,28.856432,-9.446899,27.266258,-0.030634,0.871411,0.004172,0.187233,-0.453397
62,1U,4,Yes,Yes,3.626845,1.181415,-0.035827,1.117737,-0.380949,-0.766056,0.587133,-0.154465,-0.211124
63,1U,4,No,Yes,8.695807,19.387936,-2.624831,-18.881161,3.536108,-0.014958,-0.000059,-0.920305,0.390915
64,1U,4,No,Yes,7.446867,13.268448,5.637473,11.577488,-3.198811,-0.261989,0.682275,-0.278353,0.623203
65,1U,4,Yes,Yes,7.349397,7.652577,-6.495952,-2.121844,-3.444171,-0.172462,0.712878,0.434083,-0.523099
66,1U,4,Yes,Yes,0.738493,5.400065,-4.544187,-1.637647,2.414369,0.023308,0.897498,-0.006826,-0.440348
67,1U,4,No,Yes,7.574729,19.104800,17.113370,5.508180,-6.464202,0.056208,0.635307,-0.732385,0.238408
68,1U,4,No,Yes,1.794699,9.078001,-7.584816,0.577230,-4.954542,0.275110,0.597565,-0.179274,-0.731499
69,1U,4,No,Yes,0.356980,10.368721,6.279131,-1.634951,8.087634,0.592076,0.662139,-0.014934,0.459124
70,1U,4,No,Yes,1.418027,32.461819,18.404258,4.893789,26.288853,0.357521,0.662552,0.494158,-0.434754
71,1U,4,Yes,Yes,6.385504,6.495135,-0.789138,5.907461,-2.581849,-0.163982,-0.280535,0.068864,-0.943222
72,1U,4,Yes,Yes,0.479208,3.735837,2.737570,0.252361,-2.529526,-0.135892,-0.401874,-0.652597,-0.627812
73,1U,4,No,Yes,2.468459,22.494147,8.095012,1.360916,20.942907,0.026552,0.694370,0.157676,0.701630
74,1U,4,Yes,Yes,0.424259,7.077080,6.261535,2.348189,-2.316085,-0.113605,-0.805090,0.320888,-0.485751
75,1U,4,No,Yes,8.086366,19.912908,-15.336406,8.309824,9.605487,0.313825,-0.155423,-0.544198,0.762369
76,1U,4,No,Yes,1.380440,10.879043,3.028907,-6.582901,-8.114476,0.219718,-0.221287,0.916907,-0.249073
77,1U,4,No,Yes,1.479807,32.168816,7.191840,5.476171,-30.872669,-0.136054,-0.928239,0.225950,0.262314
78,1U,4,Yes,Yes,0.075439,1.686343,0.726601,1.230304,0.895631,0.479987,0.064181,-0.174882,-0.857269
79,1U,4,No,Yes,0.425591,17.523384,-1.640118,0.059967,-17.446358,0.165090,0.382028,-0.183784,-0.890518
80,1U,4,No,Yes,7.635453,18.267050,10.848625,-7.094668,12.870826,0.227383,-0.278373,-0.120151,0.925402
81,1U,4,No,Yes,2.790431,12.439669,-3.241038,7.322987,9.519186,0.010291,0.147205,0.375321,0.915073
82,1U,4,No,Yes,7.636317,9.632898,2.756029,3.772070,8.424282,0.691368,-0.183463,0.698733,-0.011147
83,1U,4,No,Yes,7.635973,8.996485,5.584485,5.609575,4.275855,-0.688820,0.325590,-0.258118,0.594049
84,1U,4,Yes,Yes,0.077841,1.611435,-0.772982,-1.245276,0.669707,0.459581,0.072746,0.067809,0.882550
85,1U,4,No,Yes,7.446522,21.713084,0.930997,-7.680715,20.287875,-0.365713,-0.123415,-0.843364,0.373846
86,1U,4,Yes,Yes,1.030913,7.091243,-5.636198,-2.064165,3.776006,-0.403905,-0.753966,-0.451784,-0.253550
87,1U,4,No,Yes,8.375119,22.969246,10.260483,15.793187,-13.148537,-0.469010,-0.640255,0.591040,-0.144134
88,1U,4,No,Yes,0.482768,22.664287,0.529842,1.501530,22.608285,-0.170495,-0.534007,-0.121843,-0.819099
89,1U,4,No,Yes,6.097986,17.489301,-8.894744,-5.510333,-14.014115,0.431532,0.066214,0.656834,0.614789
90,1U,4,Yes,Yes,5.008800,5.356897,-1.920636,3.625475,3.444334,-0.217367,0.896597,-0.100180,0.372599
91,1U,4,Yes,Yes,6.386041,7.035126,-1.556312,-2.047454,-6.548192,-0.332260,-0.806776,-0.126624,-0.471892
92,1U,4,No,Yes,8.375191,31.005817,27.284698,-14.714654,-0.620420,-0.011375,-0.784722,0.619562,0.014989
93,1U,4,No,Yes,0.737340,21.222402,14.385791,-7.663288,13.590930,0.732059,-0.574346,-0.366343,-0.002868
94,1U,4,No,Yes,8.375940,25.178503,12.280418,20.836326,-6.999704,-0.669513,0.463471,-0.578298,-0.050183
95,1U,4,Yes,Yes,0.610531,8.008122,-5.950775,4.503968,2.903889,-0.117659,-0.499745,0.466124,-0.720514
96,1U,4,Yes,Yes,3.753080,7.514041,5.929972,0.860155,4.533914,0.703002,0.365821,0.399119,0.461159
97,1U,4,No,Yes,8.472945,29.293044,27.492538,-1.374033,-10.017726,0.868499,0.455874,-0.144784,-0.130098
98,1U,4,No,Yes,1.317433,25.629354,0.633856,25.621194,-0.128046,-0.271997,0.604848,-0.717808,0.211962
99,1U,4,No,Yes,3.083016,23.529750,-0.568693,13.742644,-19.090978,-0.264979,-0.175557,-0.401410,0.858974
100,1U,4,No,Yes,8.375262,19.019173,-12.969499,-5.039007,12.966474,-0.032810,0.690067,0.720478,-0.060352
101,1U,4,No,Yes,8.086602,18.073952,2.216925,-17.398598,4.363689,-0.098534,-0.515950,0.653322,-0.545213
102,1U,4,No,Yes,3.432215,20.918855,10.696911,-10.019945,14.925659,0.377964,-0.604931,0.235201,0.660214
103,1U,4,No,Yes,7.411440,15.123892,-9.783944,-2.713795,11.209009,0.337911,0.162313,-0.621678,-0.687741
104,1U,4,Yes,Yes,5.645855,5.177222,-3.857109,2.921163,-1.842047,-0.357087,-0.893667,0.125111,0.241237
105,1U,4,Yes,Yes,0.514135,2.930897,-0.887081,1.503546,-2.354272,-0.212274,0.265474,0.627601,0.700414
106,1U,4,Yes,Yes,0.037665,0.299768,0.295240,-0.033664,0.039508,0.911185,-0.383680,-0.027020,-0.147655
107,1U,4,Yes,Yes,0.271481,5.694674,2.912760,0.310839,-4.883494,-0.328936,0.664007,0.466726,0.482766
108,1U,4,Yes,Yes,0.392668,8.176390,-7.180571,1.380733,-3.658734,0.579088,-0.512203,-0.226731,-0.592367
